competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
BUAFL,2024,National Trophy,2025-02-23,Edinburgh Predators,Edinburgh Napier Knights,0,27,Sighthill Sports Pitches,,,,FALSE,day,,12:00,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2024,National Trophy,2025-02-23,Leicester Longhorns,Northumbria Mustangs,6,28,Coach Lane Sports Grounds,,,,FALSE,day,,12:00,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2024,National Trophy,2025-02-23,Bath Killer Bees,Bournemouth University Bobcats,0,17,Bournemouth University Sports Campus,,,Steve Rains,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2024,National Trophy,2025-02-23,UEA Pirates,Brunel Burners,0,42,Site 5,,,James Kelvin,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2024,National Trophy,2025-02-23,Sheffield Hallam Warriors,Nottingham Green,23,6,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2024,National Vase,2025-02-23,Cardiff Cobras,Warwick Wolves,3,22,Bournbrook,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2024,National Trophy,2025-02-23,Stirling Clansmen,UCLan Rams,13,10,UCLan Sports Arena,,,,FALSE,day,,14:00,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2024,National Vase,2025-02-23,Nottingham Trent Renegades,Portsmouth Destroyers,0,40,Langstone Pitches,,,,FALSE,day,,14:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2024,National Vase,2025-02-23,Newcastle Raiders,SGS Pride,0,44,SGS WISE Campus,,,,FALSE,day,,14:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2024,National Trophy,2025-02-23,Hertfordshire Hurricanes,Kent Falcons,0,3,The Pavillion,,,,FALSE,day,,15:00,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2024,National Trophy,2025-02-23,Bristol Barracuda,KCL Regents,20,0,,,,,FALSE,day,,15:00,completed,high,TRUE,FALSE,,,Last 16,
BUAFL,2024,National Vase,2025-02-23,Exeter Demons,Leeds Gryphons,32,40,West Park Leeds RUFC,,,,FALSE,day,,15:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2024,Northern Conference Cup,2025-03-02,Lincoln Colonials,Edge Hill Vikings,13,26,Edge Hill University,,,,FALSE,day,,12:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2024,National Trophy,2025-03-02,Stirling Clansmen,Edinburgh Napier Knights,14,33,Sighthill Sports Pitches,,,,FALSE,day,,12:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2024,National Trophy,2025-03-02,Sheffield Hallam Warriors,Northumbria Mustangs,15,21,Coach Lane Sports Centre,,,,FALSE,day,,12:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2024,Northern Conference Cup,2025-03-02,York Centurions,Lancaster Bombers,21,11,,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2024,National Trophy,2025-03-02,Kent Falcons,Bournemouth University Bobcats,0,22,Bournemouth University Sports Campus,,,Steve Rains,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2024,Northern Conference Cup,2025-03-02,Sunderland Spartans,Sheffield Sabres,7,21,Norton Sports Park,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2024,National Trophy,2025-03-02,Bristol Barracuda,Brunel Burners,6,58,Site 5,,,James Kelvin,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2024,Northern Conference Cup,2025-03-02,Cambridge Pythons,Derby Braves,0,1,,,,,FALSE,day,,13:30,awarded,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2024,Southern Conference Cup,2025-03-02,Sussex Saxons,Kingston Cougars,26,9,Tolworth Court Sports Ground,,,,FALSE,day,,13:30,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2024,Southern Conference Cup,2025-03-02,Tarannau Aberystwyth,Oxford Brookes University,0,1,,,,Calvin Stitt,FALSE,day,,14:00,awarded,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2024,Southern Conference Cup,2025-03-02,QMBL Vipers,UWE Bullets 2s,28,18,SGS College WISE Campus,,,,FALSE,day,,14:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2024,Southern Conference Cup,2025-03-02,Greenwich Mariners,Plymouth Blitz,0,33,Central Park Plateau,,,,FALSE,day,,14:00,completed,high,TRUE,FALSE,,,Quarter Finals,
BUAFL,2024,National Championship,2025-03-08,Loughborough Students,UWE Bullets,7,44,Hillside Gardens,,,,FALSE,day,,16:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2024,National Trophy,2025-03-09,Northumbria Mustangs,Edinburgh Napier Knights,32,13,Sighthill Sports Pitches,,,,FALSE,day,,12:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2024,National Championship,2025-03-09,Durham Saints,Nottingham Gold,14,33,,,,Jason Scott,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2024,National Trophy,2025-03-09,Brunel Burners,Bournemouth University Bobcats,13,6,Bournemouth University Sports Campus,,James Kelvin,Steve Rains,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2024,National Vase,2025-03-09,Portsmouth Destroyers,Warwick Wolves,13,20,,,,,FALSE,day,,14:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2024,National Vase,2025-03-09,Leeds Gryphons,SGS Pride,17,28,SGS College WISE Campus,,,,FALSE,day,,14:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2024,Northern Conference Cup,2025-03-16,Sheffield Sabres,York Centurions,16,10,University of York,,,,FALSE,day,,13:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2024,Northern Conference Cup,2025-03-16,Edge Hill Vikings,Derby Braves,0,40,,,,,FALSE,day,,13:30,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2024,Southern Conference Cup,2025-03-16,QMBL Vipers,Oxford Brookes University,0,42,,,,Calvin Stitt,FALSE,day,,14:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2024,Southern Conference Cup,2025-03-16,Sussex Saxons,Plymouth Blitz,6,21,Central Park Plateau,,,,FALSE,day,,14:00,completed,high,TRUE,FALSE,,,Semi-Final,
BUAFL,2024,National Trophy,2025-03-18,Northumbria Mustangs,Brunel Burners,12,24,Loughbourough University,,,James Kelvin,FALSE,day,,10:30,completed,high,TRUE,TRUE,Bowl,National Trophy,Final,
BUAFL,2024,National Vase,2025-03-18,SGS Pride,Warwick Wolves,21,0,Loughbourough University,,,,FALSE,day,,14:00,completed,high,TRUE,TRUE,Bowl,National Vase,Final,
BUAFL,2024,National Championship,2025-03-18,Nottingham Gold,UWE Bullets,12,42,Loughbourough University,,Jason Scott,,FALSE,day,,19:00,completed,high,TRUE,TRUE,Title,College Bowl XXXVII,Final,
BUAFL,2024,Southern Conference Cup,2025-03-30,Plymouth Blitz,Oxford Brookes University,14,20,Tilsley Park,,,Calvin Stitt,FALSE,day,,13:00,completed,high,TRUE,TRUE,Bowl,Southern Conference Cup,Final,
BUAFL,2024,Northern Conference Cup,2025-03-30,Derby Braves,Sheffield Sabres,6,29,Norton Sports Park,,,,FALSE,day,,13:00,completed,high,TRUE,TRUE,Bowl,Northern Conference Cup,Final,