competition_name,year,season_name,start_date,end_date,confidence_level
bcafl,2001,2001/02 Season,,,low
bcafl,2000,2000/01 Season,,,low
bcafl,1999,1999/00 Season,,,low
bcafl,1998,1998/99 Season,,,low
bcafl,1997,1997/98 Season,,,low
bcafl,1996,1996/97 Season,,,low
bcafl,1995,1995/96 Season,,,low
bcafl,1994,1994/95 Season,,,low
bcafl,1993,1993/94 Season,,,low
bcafl,1992,1992/93 Season,,,low
bcafl,1991,1991/92 Season,,,low
bcafl,1990,1990/91 Season,,,low
bcafl,1989,1989/90 Season,,,low
bcafl,1988,1988/89 Season,,,low
bcafl,1987,1987/88 Season,,,low
bcafl,1986,1986/87 Season,,,low
bcafl,1985,1985/86 Season,,,low